feature,mda_importance,mdi_importance
KSFT,0.009169185165432591,0.03314594402235743
KSFT2,0.006945793589810267,0.02618587715049965
KMID2,0.006175102332469073,0.02757436686928575
KMID,0.005745803415946904,0.012481824166862745
RESI5,0.004178501379815814,0.01914785631580841
MAX5,0.0038360975654137654,0.01438372563567495
RESI10,0.0036073179840694137,0.013738282547888427
MIN5,0.0030930935917540927,0.012627731070221975
IMIN5,0.002363497656380109,0.013938730689466024
RSV5,0.0023332220016726523,0.013684409352363553
QTLU5,0.0020163576613946967,0.011185609969213696
IMAX5,0.0016032307057063822,0.006823788716996479
MA5,0.0015766521393024923,0.012084569268119467
MAX10,0.0014193875830836645,0.004183372565059839
BETA10,0.0013650029163824184,0.006172129442984616
SUMP5,0.001287275525186149,0.009420259193207192
RSV30,0.0012363882599751852,0.005814019773706451
QTLD5,0.0011641565863083959,0.010258364348239154
RESI50,0.0011271790080672694,0.005989843401904176
SUMD10,0.00111968264985991,0.008776449700839531
IMIN20,0.0011022678329450474,0.004930809824316579
IMIN10,0.0010974342104764778,0.0049198208686360625
BETA20,0.0010816064591781416,0.003313289052287163
CORR10,0.0010419538829384179,0.008341747577401372
MA10,0.0010161788883971345,0.004632518726826303
QTLU20,0.0009946249280344155,0.007045804810487107
RESI20,0.000987393767262823,0.007055772782713866
CNTP30,0.0009333196959385726,0.004240974408118866
ROC10,0.0008863523695515241,0.005494689842550201
IMXD20,0.000878453237220711,0.004187500634781517
CNTN5,0.0008738767381454293,0.0035266826034866983
FFD_VOLUME_D0_MA5,0.00085687589246779,0.005499755509851681
QTLD10,0.0008462076655920026,0.009604307280338455
IMIN50,0.0008449801365703724,0.0036452644037471395
RESI30,0.0008441112596395461,0.00484837574292758
ROC5,0.000843059861372919,0.007672358922829303
MAX30,0.0008154349476324097,0.005593518531099106
CNTD5,0.0007810536823467995,0.0015913865582985482
MAX50,0.000737794283514237,0.004411238993962269
BETA30,0.0007222541464338983,0.005039571218072552
WVMA20,0.000683141883730709,0.0031081258401055543
VSTD50,0.0006702537804664788,0.006202150509089946
CORR30,0.0006409579790400466,0.006091839146885449
FFD_VOLUME_D0_MA20,0.0006399529778622348,0.004235615322105407
STD50,0.0006232375635266019,0.004857589254900234
FFD_VOLUME_D0_MA30,0.0006041787013100208,0.004105355731423009
RSV10,0.0005942394528308581,0.005240861996845651
MAX20,0.0005902533655630871,0.005637054824990209
RSV20,0.0005732711600022755,0.004768566559938455
MIN10,0.0005625918917099515,0.006638039089898621
FFD_CLOSE_D20_SLOPE5,0.0005614017746053745,0.0020444893824531304
FFD_VOLUME_D0_MA10,0.0005538215878827524,0.0058144939486851855
VSUMP50,0.0005527546315014842,0.004764799236255632
CNTP10,0.0005243119448739009,0.0010996554771494896
CORD20,0.0005021287641353567,0.005430395876317269
QTLU10,0.00048223924930363983,0.004607603137502327
RSQR30,0.00048170622091143757,0.0038643591408500954
IMAX50,0.00046949074679356604,0.004576574301174117
FFD_VOLUME_D0_SLOPE5,0.0004684666937778248,0.0050948720195529975
ROC20,0.0004530354596315123,0.0064035298704260505
SUMD30,0.000445920858411486,0.003469797647727473
SUMD5,0.00044021040258928056,0.006787305035560639
KUP,0.0004296757127454365,0.006536952191906646
VMA30,0.00042849459230804855,0.005261871432541566
SUMD50,0.0004263887070652617,0.004522252761090105
CNTN50,0.000413717560776905,0.004437084226667873
IMXD30,0.0003942700992038306,0.004279621925515974
QTLD30,0.00038510366178676756,0.004454987727189014
IMXD50,0.00037596425198125336,0.00346487158303742
SUMD20,0.0003746876989128678,0.003989711419325598
CORR20,0.00035849886798944297,0.0051236345362041455
STD10,0.0003579875054368298,0.004106996758930537
QTLU30,0.0003486710462581977,0.004720172325794064
CORD30,0.000325104884074956,0.0057271364425273375
FFD_CLOSE_D20_MA5,0.00031829039718291876,0.002019970511061769
VSUMN5,0.0003110419124135122,0.0029206089139434126
CNTD10,0.00029899023653681136,0.004157489070964672
FFD_VOLUME_D0,0.00028950019902234113,0.004505360084472243
CNTD30,0.00028825771950915515,0.003937384081314225
IMAX10,0.0002860998549826466,0.006100347641149157
SUMN5,0.00028338648270231914,0.005756438958681601
KLEN,0.00027722841954591626,0.00448595361235014
FFD_VOLUME_D0_STD50,0.0002744500055702481,0.004700268826842601
MIN50,0.0002630201923145226,0.0069872470398654385
IMXD5,0.0002586407540141833,0.0036939419465750393
VSUMD5,0.0002574305586958925,0.004132802673665145
SUMP20,0.00025452896775335354,0.006107637471095375
FFD_VOLUME_D0_SLOPE30,0.0002431099279015525,0.0035418312219338555
SUMN10,0.00022750747210864564,0.004910861028977163
MA50,0.000223570658216099,0.007642534054015624
BETA5,0.00019390964484202743,0.0031495087564043338
VMA10,0.00018943842334706584,0.006755288420526702
VMA50,0.00018684275622962154,0.0042413387584821875
MA30,0.00018625282657329655,0.002991192084897809
RSV50,0.00018605308634092043,0.0047276770935647736
FFD_CLOSE_D20_MA20,0.00015450317409737568,0.002147507390322991
CNTP20,0.00015372923225205338,0.0034985451712852144
STD30,0.00013153350754409044,0.006783747458170025
VSUMD10,0.00012300386498902415,0.0036536223535585366
FFD_VOLUME_D0_STD20,0.00012145160127123855,0.0037847537039417778
WVMA30,0.00011740384466059073,0.005449234059782538
ROC50,0.00011664066901291292,0.00888645485971496
KLOW,0.00011332711172080678,0.004864235321284371
CNTN30,0.00010809032811354147,0.0031572086110483433
VSUMN30,0.0001032132563938859,0.0046203227206454
CORR5,0.00010104370659749228,0.005587232108705438
RSQR20,9.476738897948867e-05,0.003648548896844441
SUMP50,8.218919306683947e-05,0.005820655581359714
CNTD20,5.76287671871567e-05,0.004031601640806489
VSUMP30,5.201191533192873e-05,0.004856333584110329
VMA5,5.160961583645651e-05,0.004195551150161149
VMA20,4.6046619831741074e-05,0.004431219062928771
CORD5,4.589124853620064e-05,0.003949276007416195
VSUMP20,3.993993062936241e-05,0.004005724843233806
FFD_CLOSE_D20_STD5,3.615198970674527e-05,0.0022520137392658536
FFD_VOLUME_D0_SLOPE50,2.958903523884171e-05,0.004436581277155638
FFD_CLOSE_D20_STD30,2.6537726399511465e-05,0.0022895023027638176
SUMP30,2.1898710606094163e-05,0.005545479284081557
IMXD10,1.9933476240652227e-05,0.003276840568590204
QTLD50,1.1799450472116391e-05,0.005509821856453917
WVMA10,8.315785575629952e-06,0.006198386202989177
FFD_CLOSE_D20_STD20,6.435390621528647e-06,0.0019746238936612474
CORR50,1.313267517755179e-06,0.006156792533189315
FFD_CLOSE_D20,1.6177384467574996e-07,0.00247218940618128
