feature,shap_importance
vol_jump,0.6214139084339771
ewm_vol,0.6015341799764806
shock_size,0.48957449053888524
fast_slope,0.47418911168179784
slow_slope,0.4116972600753549
price_to_slow,0.39879471797228117
ma_gap_pct,0.3312321131074106
time_since_prev_event_h,0.3215010706252983
ret_1,0.3066155224157295
dow,0.25031187554012324
session_bucket,0.12576991149589994
vol_percentile,0.1176381419865628
n_short,0.10978232798199887
n_long,0.10331342797630899
n_fired,0.07389957321793222
slow_window,0.048330916192484634
agreement_ratio,0.046439078220670345
candidate_id,0.04239687576047449
is_majority_side,0.03616925170084619
vertical_bars,0.024926023396999477
conflict_flag,0.016795730311390904
cusum_rate,0.015526089320170858
fast_window,0.013604342517917815
